Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 1 | Loss: 117.1739 | w0: 1.0000 | r0: 0.1897 | st0: 1.1498 | sd0: 0.9971 | gamma0: 0.000000 | gamma_off | lr : 0.19352394 
Step: 0 | Loss:  43.1035 | w0: 1.0000 | r0: 0.2976 | st0: 1.0544 | sd0: 0.9914 | gamma0: 0.000000 | gamma_off | lr : 0.19317346 
Step: 1 | Loss: 139.9208 | w0: 1.0000 | r0: 0.1915 | st0: 1.1408 | sd0: 0.9985 | gamma0: 0.000000 | gamma_off | lr : 0.19317346 
Step: 0 | Loss:  41.7743 | w0: 1.0000 | r0: 0.2695 | st0: 1.0593 | sd0: 0.9915 | gamma0: 0.000000 | gamma_off | lr : 0.19281410 
Step: 1 | Loss: 153.3916 | w0: 1.0000 | r0: 0.1902 | st0: 1.1331 | sd0: 1.0005 | gamma0: 0.000000 | gamma_off | lr : 0.19281410 
Step: 0 | Loss:  39.0668 | w0: 1.0000 | r0: 0.2450 | st0: 1.0640 | sd0: 0.9917 | gamma0: 0.000000 | gamma_off | lr : 0.19244589 
Step: 1 | Loss: 132.5008 | w0: 1.0000 | r0: 0.1854 | st0: 1.1230 | sd0: 1.0023 | gamma0: 0.000000 | gamma_off | lr : 0.19244589 
Step: 0 | Loss:  33.5937 | w0: 1.0000 | r0: 0.2220 | st0: 1.0688 | sd0: 0.9925 | gamma0: 0.000000 | gamma_off | lr : 0.19206887 
Step: 1 | Loss: 129.7988 | w0: 1.0000 | r0: 0.1801 | st0: 1.1098 | sd0: 1.0028 | gamma0: 0.000000 | gamma_off | lr : 0.19206887 
Step: 0 | Loss:  23.3237 | w0: 1.0000 | r0: 0.2038 | st0: 1.0723 | sd0: 0.9939 | gamma0: 0.000000 | gamma_off | lr : 0.19168309 
Step: 1 | Loss: 133.1004 | w0: 1.0000 | r0: 0.1766 | st0: 1.0949 | sd0: 1.0025 | gamma0: 0.000000 | gamma_off | lr : 0.19168309 
Step: 0 | Loss:  26.7461 | w0: 1.0000 | r0: 0.1903 | st0: 1.0742 | sd0: 0.9934 | gamma0: 0.000000 | gamma_off | lr : 0.19128857 
Step: 1 | Loss: 109.4025 | w0: 1.0000 | r0: 0.1757 | st0: 1.0767 | sd0: 1.0008 | gamma0: 0.000000 | gamma_off | lr : 0.19128857 
Step: 0 | Loss:  15.5283 | w0: 1.0000 | r0: 0.1794 | st0: 1.0750 | sd0: 0.9950 | gamma0: 0.000000 | gamma_off | lr : 0.19088535 
Step: 1 | Loss: 117.3116 | w0: 1.0000 | r0: 0.1767 | st0: 1.0745 | sd0: 0.9989 | gamma0: 0.000000 | gamma_off | lr : 0.19088535 
Step: 0 | Loss:  15.7712 | w0: 1.0000 | r0: 0.1728 | st0: 1.0741 | sd0: 0.9952 | gamma0: 0.000000 | gamma_off | lr : 0.19047349 
Step: 1 | Loss: 143.7572 | w0: 1.0000 | r0: 0.1738 | st0: 1.0742 | sd0: 0.9962 | gamma0: 0.000000 | gamma_off | lr : 0.19047349 
Step: 0 | Loss:  17.5692 | w0: 1.0000 | r0: 0.1693 | st0: 1.0724 | sd0: 0.9948 | gamma0: 0.000000 | gamma_off | lr : 0.19005301 
Step: 1 | Loss: 142.6107 | w0: 1.0000 | r0: 0.1713 | st0: 1.0700 | sd0: 0.9936 | gamma0: 0.000000 | gamma_off | lr : 0.19005301 
Step: 0 | Loss:  16.3038 | w0: 1.0000 | r0: 0.1663 | st0: 1.0706 | sd0: 0.9949 | gamma0: 0.000000 | gamma_off | lr : 0.18962396 
Step: 1 | Loss: 155.2944 | w0: 1.0000 | r0: 0.1696 | st0: 1.0694 | sd0: 0.9935 | gamma0: 0.000000 | gamma_off | lr : 0.18962396 
Step: 0 | Loss:  19.2833 | w0: 1.0000 | r0: 0.1653 | st0: 1.0680 | sd0: 0.9946 | gamma0: 0.000000 | gamma_off | lr : 0.18918639 
Step: 1 | Loss: 152.3730 | w0: 1.0000 | r0: 0.1691 | st0: 1.0666 | sd0: 0.9948 | gamma0: 0.000000 | gamma_off | lr : 0.18918639 
Step: 0 | Loss:  21.9983 | w0: 1.0000 | r0: 0.1630 | st0: 1.0668 | sd0: 0.9940 | gamma0: 0.000000 | gamma_off | lr : 0.18874034 
Step: 1 | Loss: 169.3868 | w0: 1.0000 | r0: 0.1687 | st0: 1.0624 | sd0: 0.9969 | gamma0: 0.000000 | gamma_off | lr : 0.18874034 
Step: 0 | Loss:  26.2229 | w0: 1.0000 | r0: 0.1614 | st0: 1.0655 | sd0: 0.9934 | gamma0: 0.000000 | gamma_off | lr : 0.18828586 
Step: 1 | Loss: 170.9554 | w0: 1.0000 | r0: 0.1674 | st0: 1.0584 | sd0: 0.9995 | gamma0: 0.000000 | gamma_off | lr : 0.18828586 
Step: 0 | Loss:  25.0080 | w0: 1.0000 | r0: 0.1597 | st0: 1.0641 | sd0: 0.9936 | gamma0: 0.000000 | gamma_off | lr : 0.18782298 
Step: 1 | Loss: 152.8709 | w0: 1.0000 | r0: 0.1655 | st0: 1.0584 | sd0: 1.0025 | gamma0: 0.000000 | gamma_off | lr : 0.18782298 
Step: 0 | Loss:  29.6896 | w0: 1.0000 | r0: 0.1592 | st0: 1.0619 | sd0: 0.9930 | gamma0: 0.000000 | gamma_off | lr : 0.18735176 
Step: 1 | Loss: 193.1801 | w0: 1.0000 | r0: 0.1606 | st0: 1.0609 | sd0: 1.0046 | gamma0: 0.000000 | gamma_off | lr : 0.18735176 
Step: 0 | Loss:  32.7192 | w0: 1.0000 | r0: 0.1597 | st0: 1.0592 | sd0: 0.9925 | gamma0: 0.000000 | gamma_off | lr : 0.18687224 
Step: 1 | Loss: 159.3920 | w0: 1.0000 | r0: 0.1558 | st0: 1.0630 | sd0: 1.0060 | gamma0: 0.000000 | gamma_off | lr : 0.18687224 
Step: 0 | Loss:  25.9088 | w0: 1.0000 | r0: 0.1607 | st0: 1.0565 | sd0: 0.9935 | gamma0: 0.000000 | gamma_off | lr : 0.18638448 
Step: 1 | Loss: 155.7125 | w0: 1.0000 | r0: 0.1463 | st0: 1.0725 | sd0: 1.0072 | gamma0: 0.000000 | gamma_off | lr : 0.18638448 
Step: 0 | Loss:  23.7011 | w0: 1.0000 | r0: 0.1624 | st0: 1.0524 | sd0: 0.9938 | gamma0: 0.000000 | gamma_off | lr : 0.18588851 
Step: 1 | Loss: 128.4565 | w0: 1.0000 | r0: 0.1365 | st0: 1.0800 | sd0: 1.0078 | gamma0: 0.000000 | gamma_off | lr : 0.18588851 
Step: 0 | Loss:  16.9925 | w0: 1.0000 | r0: 0.1636 | st0: 1.0480 | sd0: 0.9948 | gamma0: 0.000000 | gamma_off | lr : 0.18538440 
Step: 1 | Loss: 125.7500 | w0: 1.0000 | r0: 0.1290 | st0: 1.0868 | sd0: 1.0078 | gamma0: 0.000000 | gamma_off | lr : 0.18538440 
