Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:   1.4039 | w0: 1.0000 | r0: 0.2596 | st0: 0.8787 | sd0: 1.0000 | gamma0: 0.000000 | lr : 0.19543836 
Step: 1 | Loss: 103.3021 | w0: 1.0000 | r0: 0.1579 | st0: 0.8779 | sd0: 0.9910 | gamma0: 0.014954 | lr : 0.19543836 
Step: 0 | Loss:   5.4681 | w0: 1.0000 | r0: 0.2636 | st0: 0.8711 | sd0: 1.0020 | gamma0: 0.000000 | lr : 0.19514188 
Step: 1 | Loss: 144.5336 | w0: 1.0000 | r0: 0.1509 | st0: 0.8828 | sd0: 0.9908 | gamma0: 0.014700 | lr : 0.19514188 
tick 1     kimg 1.1       time 41s          sec/tick 31.9    sec/kimg 31.13   maintenance 0.0    gpumem 4.63   reserved 4.94  
Step: 0 | Loss:  11.4061 | w0: 1.0000 | r0: 0.2676 | st0: 0.8640 | sd0: 1.0035 | gamma0: 0.000000 | lr : 0.19483633 
Step: 1 | Loss: 140.7031 | w0: 1.0000 | r0: 0.1459 | st0: 0.8878 | sd0: 0.9921 | gamma0: 0.014385 | lr : 0.19483633 
Step: 0 | Loss:  17.2065 | w0: 1.0000 | r0: 0.2716 | st0: 0.8578 | sd0: 1.0044 | gamma0: 0.000000 | lr : 0.19452173 
Step: 1 | Loss: 185.4611 | w0: 1.0000 | r0: 0.1414 | st0: 0.8921 | sd0: 0.9944 | gamma0: 0.014025 | lr : 0.19452173 
Step: 0 | Loss:  16.9469 | w0: 1.0000 | r0: 0.2743 | st0: 0.8524 | sd0: 1.0044 | gamma0: 0.000000 | lr : 0.19419811 
Step: 1 | Loss: 141.6299 | w0: 1.0000 | r0: 0.1383 | st0: 0.8944 | sd0: 0.9961 | gamma0: 0.013664 | lr : 0.19419811 
Step: 0 | Loss:  12.2211 | w0: 1.0000 | r0: 0.2796 | st0: 0.8470 | sd0: 1.0033 | gamma0: 0.000000 | lr : 0.19386550 
Step: 1 | Loss: 156.6605 | w0: 1.0000 | r0: 0.1366 | st0: 0.8942 | sd0: 0.9969 | gamma0: 0.013271 | lr : 0.19386550 
Step: 0 | Loss:   6.6247 | w0: 1.0000 | r0: 0.2803 | st0: 0.8427 | sd0: 1.0021 | gamma0: 0.000000 | lr : 0.19352394 
Step: 1 | Loss: 115.6445 | w0: 1.0000 | r0: 0.1358 | st0: 0.8930 | sd0: 0.9972 | gamma0: 0.012816 | lr : 0.19352394 
Step: 0 | Loss:   3.6977 | w0: 1.0000 | r0: 0.2795 | st0: 0.8391 | sd0: 1.0008 | gamma0: 0.000000 | lr : 0.19317346 
