Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 2 | Loss: 240.8433 | w0: 1.0000 | r0: 0.1244 | st0: 0.9209 | sd0: 0.9935 | gamma0: 0.005223 | lr : 0.18758543 
Step: 0 | Loss:  13.2699 | w0: 1.0000 | r0: 0.2621 | st0: 0.8327 | sd0: 1.0045 | gamma0: 0.000000 | lr : 0.18565342 
Step: 1 | Loss:   2.6942 | w0: 1.0000 | r0: 0.5739 | st0: 0.9358 | sd0: 0.9887 | gamma0: 0.002827 | lr : 0.18565342 
Step: 2 | Loss: 183.3840 | w0: 1.0000 | r0: 0.1268 | st0: 0.9184 | sd0: 0.9968 | gamma0: 0.005041 | lr : 0.18565342 
Step: 0 | Loss:   6.8420 | w0: 1.0000 | r0: 0.2575 | st0: 0.8306 | sd0: 1.0030 | gamma0: 0.000000 | lr : 0.18359388 
Step: 1 | Loss:   2.5374 | w0: 1.0000 | r0: 0.5541 | st0: 0.9329 | sd0: 0.9882 | gamma0: 0.002673 | lr : 0.18359388 
Step: 2 | Loss: 209.5546 | w0: 1.0000 | r0: 0.1305 | st0: 0.9162 | sd0: 0.9998 | gamma0: 0.004849 | lr : 0.18359388 
Step: 0 | Loss:   4.6534 | w0: 1.0000 | r0: 0.2606 | st0: 0.8286 | sd0: 1.0024 | gamma0: 0.000000 | lr : 0.18141007 
Step: 1 | Loss:   2.3623 | w0: 1.0000 | r0: 0.5340 | st0: 0.9316 | sd0: 0.9884 | gamma0: 0.002529 | lr : 0.18141007 
Step: 2 | Loss: 228.3612 | w0: 1.0000 | r0: 0.1340 | st0: 0.9167 | sd0: 1.0026 | gamma0: 0.004647 | lr : 0.18141007 
tick 2     kimg 2.2       time 59s          sec/tick 21.8    sec/kimg 21.30   maintenance 0.0    gpumem 24.70  reserved 25.33 
Step: 0 | Loss:   4.6786 | w0: 1.0000 | r0: 0.2561 | st0: 0.8271 | sd0: 1.0023 | gamma0: 0.000000 | lr : 0.17910544 
Step: 1 | Loss:   2.2369 | w0: 1.0000 | r0: 0.5107 | st0: 0.9333 | sd0: 0.9889 | gamma0: 0.002395 | lr : 0.17910544 
Step: 2 | Loss: 219.2900 | w0: 1.0000 | r0: 0.1390 | st0: 0.9177 | sd0: 1.0052 | gamma0: 0.004448 | lr : 0.17910544 
Step: 0 | Loss:   5.8551 | w0: 1.0000 | r0: 0.2484 | st0: 0.8260 | sd0: 1.0027 | gamma0: 0.000000 | lr : 0.17668364 
Step: 1 | Loss:   2.3274 | w0: 1.0000 | r0: 0.4881 | st0: 0.9365 | sd0: 0.9897 | gamma0: 0.002281 | lr : 0.17668364 
Step: 2 | Loss: 245.8857 | w0: 1.0000 | r0: 0.1452 | st0: 0.9188 | sd0: 1.0071 | gamma0: 0.004244 | lr : 0.17668364 
Step: 0 | Loss:   7.0755 | w0: 1.0000 | r0: 0.2597 | st0: 0.8241 | sd0: 1.0031 | gamma0: 0.000000 | lr : 0.17414849 
Step: 1 | Loss:   1.5037 | w0: 1.0000 | r0: 0.4610 | st0: 0.9397 | sd0: 0.9909 | gamma0: 0.002162 | lr : 0.17414849 
Step: 2 | Loss: 243.6901 | w0: 1.0000 | r0: 0.1516 | st0: 0.9205 | sd0: 1.0086 | gamma0: 0.004038 | lr : 0.17414849 
Step: 0 | Loss:   9.5796 | w0: 1.0000 | r0: 0.2686 | st0: 0.8225 | sd0: 1.0037 | gamma0: 0.000000 | lr : 0.17150400 
Step: 1 | Loss:   1.3714 | w0: 1.0000 | r0: 0.4342 | st0: 0.9447 | sd0: 0.9919 | gamma0: 0.002053 | lr : 0.17150400 
Step: 2 | Loss: 205.6665 | w0: 1.0000 | r0: 0.1583 | st0: 0.9210 | sd0: 1.0093 | gamma0: 0.003834 | lr : 0.17150400 
Step: 0 | Loss:  13.4203 | w0: 1.0000 | r0: 0.2693 | st0: 0.8215 | sd0: 1.0045 | gamma0: 0.000000 | lr : 0.16875435 
Step: 1 | Loss:   1.3692 | w0: 1.0000 | r0: 0.4070 | st0: 0.9522 | sd0: 0.9925 | gamma0: 0.001944 | lr : 0.16875435 
Step: 2 | Loss: 216.2385 | w0: 1.0000 | r0: 0.1650 | st0: 0.9193 | sd0: 1.0094 | gamma0: 0.003629 | lr : 0.16875435 
Step: 0 | Loss:  15.9119 | w0: 1.0000 | r0: 0.2689 | st0: 0.8206 | sd0: 1.0050 | gamma0: 0.000000 | lr : 0.16590390 
Step: 1 | Loss:   1.5353 | w0: 1.0000 | r0: 0.3848 | st0: 0.9587 | sd0: 0.9926 | gamma0: 0.001842 | lr : 0.16590390 
Step: 2 | Loss: 224.2616 | w0: 1.0000 | r0: 0.1724 | st0: 0.9159 | sd0: 1.0089 | gamma0: 0.003439 | lr : 0.16590390 
Step: 0 | Loss:  13.0921 | w0: 1.0000 | r0: 0.2758 | st0: 0.8194 | sd0: 1.0044 | gamma0: 0.000000 | lr : 0.16295714 
Step: 1 | Loss:   1.3232 | w0: 1.0000 | r0: 0.3723 | st0: 0.9606 | sd0: 0.9920 | gamma0: 0.001745 | lr : 0.16295714 
Step: 2 | Loss: 229.1703 | w0: 1.0000 | r0: 0.1799 | st0: 0.9110 | sd0: 1.0080 | gamma0: 0.003249 | lr : 0.16295714 
Step: 0 | Loss:   8.0593 | w0: 1.0000 | r0: 0.2808 | st0: 0.8183 | sd0: 1.0033 | gamma0: 0.000000 | lr : 0.15991874 
Step: 1 | Loss:   1.3087 | w0: 1.0000 | r0: 0.3666 | st0: 0.9593 | sd0: 0.9911 | gamma0: 0.001654 | lr : 0.15991874 
Step: 2 | Loss: 193.8889 | w0: 1.0000 | r0: 0.1855 | st0: 0.9063 | sd0: 1.0068 | gamma0: 0.003068 | lr : 0.15991874 
tick 3     kimg 3.2       time 1m 21s       sec/tick 21.7    sec/kimg 21.20   maintenance 0.0    gpumem 24.70  reserved 25.33 
Step: 0 | Loss:   3.8497 | w0: 1.0000 | r0: 0.2834 | st0: 0.8172 | sd0: 1.0019 | gamma0: 0.000000 | lr : 0.15679350 
Step: 1 | Loss:   2.0211 | w0: 1.0000 | r0: 0.3652 | st0: 0.9559 | sd0: 0.9903 | gamma0: 0.001567 | lr : 0.15679350 
Step: 2 | Loss: 244.9713 | w0: 1.0000 | r0: 0.1896 | st0: 0.9027 | sd0: 1.0059 | gamma0: 0.002888 | lr : 0.15679350 
Step: 0 | Loss:   2.4914 | w0: 1.0000 | r0: 0.2848 | st0: 0.8163 | sd0: 1.0012 | gamma0: 0.000000 | lr : 0.15358637 
Step: 1 | Loss:   1.8045 | w0: 1.0000 | r0: 0.3622 | st0: 0.9539 | sd0: 0.9905 | gamma0: 0.001485 | lr : 0.15358637 
Step: 2 | Loss: 298.5512 | w0: 1.0000 | r0: 0.1881 | st0: 0.9022 | sd0: 1.0056 | gamma0: 0.002733 | lr : 0.15358637 
Step: 0 | Loss:   2.6853 | w0: 1.0000 | r0: 0.2820 | st0: 0.8157 | sd0: 1.0013 | gamma0: 0.000000 | lr : 0.15030241 
Step: 1 | Loss:   1.2578 | w0: 1.0000 | r0: 0.3580 | st0: 0.9543 | sd0: 0.9914 | gamma0: 0.001411 | lr : 0.15030241 
Step: 2 | Loss: 253.6070 | w0: 1.0000 | r0: 0.1827 | st0: 0.9039 | sd0: 1.0058 | gamma0: 0.002598 | lr : 0.15030241 
Step: 0 | Loss:   3.9560 | w0: 1.0000 | r0: 0.2788 | st0: 0.8151 | sd0: 1.0019 | gamma0: 0.000000 | lr : 0.14694682 
Step: 1 | Loss:   1.2458 | w0: 1.0000 | r0: 0.3556 | st0: 0.9549 | sd0: 0.9930 | gamma0: 0.001342 | lr : 0.14694682 
Step: 2 | Loss: 202.0001 | w0: 1.0000 | r0: 0.1740 | st0: 0.9079 | sd0: 1.0065 | gamma0: 0.002464 | lr : 0.14694682 
Step: 0 | Loss:   7.2445 | w0: 1.0000 | r0: 0.2647 | st0: 0.8150 | sd0: 1.0031 | gamma0: 0.000000 | lr : 0.14352491 
Step: 1 | Loss:   1.1582 | w0: 1.0000 | r0: 0.3553 | st0: 0.9581 | sd0: 0.9948 | gamma0: 0.001285 | lr : 0.14352491 
Step: 2 | Loss: 227.5677 | w0: 1.0000 | r0: 0.1649 | st0: 0.9125 | sd0: 1.0074 | gamma0: 0.002349 | lr : 0.14352491 
Step: 0 | Loss:  10.8055 | w0: 1.0000 | r0: 0.2525 | st0: 0.8148 | sd0: 1.0040 | gamma0: 0.000000 | lr : 0.14004207 
Step: 1 | Loss:   1.1304 | w0: 1.0000 | r0: 0.3561 | st0: 0.9609 | sd0: 0.9963 | gamma0: 0.001232 | lr : 0.14004207 
Step: 2 | Loss: 194.7160 | w0: 1.0000 | r0: 0.1585 | st0: 0.9156 | sd0: 1.0077 | gamma0: 0.002243 | lr : 0.14004207 
Step: 0 | Loss:  16.9179 | w0: 1.0000 | r0: 0.2379 | st0: 0.8148 | sd0: 1.0051 | gamma0: 0.000000 | lr : 0.13650383 
Step: 1 | Loss:   1.3797 | w0: 1.0000 | r0: 0.3642 | st0: 0.9659 | sd0: 0.9970 | gamma0: 0.001189 | lr : 0.13650383 
Step: 2 | Loss: 229.1779 | w0: 1.0000 | r0: 0.1534 | st0: 0.9164 | sd0: 1.0075 | gamma0: 0.002141 | lr : 0.13650383 
Step: 0 | Loss:  19.0837 | w0: 1.0000 | r0: 0.2253 | st0: 0.8147 | sd0: 1.0055 | gamma0: 0.000000 | lr : 0.13291578 
Step: 1 | Loss:   1.5654 | w0: 1.0000 | r0: 0.3744 | st0: 0.9681 | sd0: 0.9971 | gamma0: 0.001152 | lr : 0.13291578 
Step: 2 | Loss: 261.0668 | w0: 1.0000 | r0: 0.1502 | st0: 0.9155 | sd0: 1.0071 | gamma0: 0.002047 | lr : 0.13291578 
tick 4     kimg 4.2       time 1m 43s       sec/tick 21.8    sec/kimg 21.27   maintenance 0.1    gpumem 24.70  reserved 25.33 
Step: 0 | Loss:  18.8011 | w0: 1.0000 | r0: 0.2148 | st0: 0.8146 | sd0: 1.0055 | gamma0: 0.000000 | lr : 0.12928358 
Step: 1 | Loss:   1.6571 | w0: 1.0000 | r0: 0.3874 | st0: 0.9685 | sd0: 0.9968 | gamma0: 0.001118 | lr : 0.12928358 
Step: 2 | Loss: 241.5186 | w0: 1.0000 | r0: 0.1488 | st0: 0.9134 | sd0: 1.0063 | gamma0: 0.001961 | lr : 0.12928358 
Step: 0 | Loss:  16.6099 | w0: 1.0000 | r0: 0.2051 | st0: 0.8145 | sd0: 1.0051 | gamma0: 0.000000 | lr : 0.12561299 
Step: 1 | Loss:   1.3497 | w0: 1.0000 | r0: 0.4002 | st0: 0.9682 | sd0: 0.9961 | gamma0: 0.001090 | lr : 0.12561299 
Step: 2 | Loss: 261.1129 | w0: 1.0000 | r0: 0.1492 | st0: 0.9103 | sd0: 1.0052 | gamma0: 0.001888 | lr : 0.12561299 
Step: 0 | Loss:  12.1250 | w0: 1.0000 | r0: 0.1982 | st0: 0.8143 | sd0: 1.0043 | gamma0: 0.000000 | lr : 0.12190980 
Step: 1 | Loss:   1.1480 | w0: 1.0000 | r0: 0.4139 | st0: 0.9660 | sd0: 0.9952 | gamma0: 0.001060 | lr : 0.12190980 
Step: 2 | Loss: 207.3759 | w0: 1.0000 | r0: 0.1512 | st0: 0.9068 | sd0: 1.0039 | gamma0: 0.001818 | lr : 0.12190980 
Step: 0 | Loss:   8.1620 | w0: 1.0000 | r0: 0.1928 | st0: 0.8141 | sd0: 1.0034 | gamma0: 0.000000 | lr : 0.11817988 
Step: 1 | Loss:   0.9270 | w0: 1.0000 | r0: 0.4274 | st0: 0.9636 | sd0: 0.9942 | gamma0: 0.001033 | lr : 0.11817988 
Step: 2 | Loss: 215.7160 | w0: 1.0000 | r0: 0.1533 | st0: 0.9033 | sd0: 1.0025 | gamma0: 0.001758 | lr : 0.11817988 
Step: 0 | Loss:   5.0637 | w0: 1.0000 | r0: 0.1890 | st0: 0.8139 | sd0: 1.0025 | gamma0: 0.000000 | lr : 0.11442911 
Step: 1 | Loss:   0.9070 | w0: 1.0000 | r0: 0.4408 | st0: 0.9610 | sd0: 0.9935 | gamma0: 0.001009 | lr : 0.11442911 
Step: 2 | Loss: 230.4303 | w0: 1.0000 | r0: 0.1540 | st0: 0.9010 | sd0: 1.0015 | gamma0: 0.001698 | lr : 0.11442911 
Step: 0 | Loss:   3.4268 | w0: 1.0000 | r0: 0.1857 | st0: 0.8136 | sd0: 1.0019 | gamma0: 0.000000 | lr : 0.11066344 
Step: 1 | Loss:   0.9941 | w0: 1.0000 | r0: 0.4550 | st0: 0.9590 | sd0: 0.9932 | gamma0: 0.000985 | lr : 0.11066344 
Step: 2 | Loss: 167.6770 | w0: 1.0000 | r0: 0.1532 | st0: 0.9003 | sd0: 1.0011 | gamma0: 0.001641 | lr : 0.11066344 
Step: 0 | Loss:   2.6567 | w0: 1.0000 | r0: 0.1835 | st0: 0.8134 | sd0: 1.0016 | gamma0: 0.000000 | lr : 0.10688881 
Step: 1 | Loss:   1.1650 | w0: 1.0000 | r0: 0.4684 | st0: 0.9573 | sd0: 0.9933 | gamma0: 0.000961 | lr : 0.10688881 
Step: 2 | Loss: 206.3604 | w0: 1.0000 | r0: 0.1513 | st0: 0.9007 | sd0: 1.0010 | gamma0: 0.001588 | lr : 0.10688881 
Step: 0 | Loss:   2.2931 | w0: 1.0000 | r0: 0.1817 | st0: 0.8131 | sd0: 1.0014 | gamma0: 0.000000 | lr : 0.10311119 
Step: 1 | Loss:   1.0714 | w0: 1.0000 | r0: 0.4817 | st0: 0.9561 | sd0: 0.9937 | gamma0: 0.000938 | lr : 0.10311119 
Step: 2 | Loss: 212.4644 | w0: 1.0000 | r0: 0.1485 | st0: 0.9023 | sd0: 1.0013 | gamma0: 0.001538 | lr : 0.10311119 
tick 5     kimg 5.2       time 2m 04s       sec/tick 21.8    sec/kimg 21.28   maintenance 0.1    gpumem 24.70  reserved 25.33 
Step: 0 | Loss:   2.5813 | w0: 1.0000 | r0: 0.1809 | st0: 0.8128 | sd0: 1.0016 | gamma0: 0.000000 | lr : 0.09933656 
Step: 1 | Loss:   1.0928 | w0: 1.0000 | r0: 0.4922 | st0: 0.9553 | sd0: 0.9946 | gamma0: 0.000915 | lr : 0.09933656 
Step: 2 | Loss: 218.1989 | w0: 1.0000 | r0: 0.1458 | st0: 0.9050 | sd0: 1.0018 | gamma0: 0.001494 | lr : 0.09933656 
Step: 0 | Loss:   2.9060 | w0: 1.0000 | r0: 0.1812 | st0: 0.8125 | sd0: 1.0017 | gamma0: 0.000000 | lr : 0.09557089 
