Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 1 | Loss:   0.7853 | w0: 1.0000 | r0: 0.5702 | st0: 1.0375 | sd0: 1.0036 | gamma0: 0.000000 | gamma_off | lr : 0.19517251 
Step: 2 | Loss:  83.8311 | w0: 1.0000 | r0: 0.1378 | st0: 0.9214 | sd0: 0.9953 | gamma0: 0.000000 | gamma_off | lr : 0.19517251 
tick 1     kimg 1.1       time 1m 00s       sec/tick 47.8    sec/kimg 46.66   maintenance 0.0    gpumem 24.71  reserved 25.34 
Step: 0 | Loss:  16.2087 | w0: 1.0000 | r0: 0.1922 | st0: 0.8647 | sd0: 1.0051 | gamma0: 0.000000 | gamma_off | lr : 0.19455623 
Step: 1 | Loss:   2.3812 | w0: 1.0000 | r0: 0.5349 | st0: 1.0456 | sd0: 1.0071 | gamma0: 0.000000 | gamma_off | lr : 0.19455623 
Step: 2 | Loss: 114.6842 | w0: 1.0000 | r0: 0.1250 | st0: 0.9288 | sd0: 0.9982 | gamma0: 0.000000 | gamma_off | lr : 0.19455623 
Step: 0 | Loss:  16.3796 | w0: 1.0000 | r0: 0.1894 | st0: 0.8597 | sd0: 1.0051 | gamma0: 0.000000 | gamma_off | lr : 0.19390409 
Step: 1 | Loss:   3.2432 | w0: 1.0000 | r0: 0.5131 | st0: 1.0470 | sd0: 1.0075 | gamma0: 0.000000 | gamma_off | lr : 0.19390409 
Step: 2 | Loss: 135.0229 | w0: 1.0000 | r0: 0.1225 | st0: 0.9234 | sd0: 0.9969 | gamma0: 0.000000 | gamma_off | lr : 0.19390409 
Step: 0 | Loss:   1.7606 | w0: 1.0000 | r0: 0.1939 | st0: 0.8536 | sd0: 1.0012 | gamma0: 0.000000 | gamma_off | lr : 0.19321635 
Step: 1 | Loss:   0.8290 | w0: 1.0000 | r0: 0.4922 | st0: 1.0393 | sd0: 1.0048 | gamma0: 0.000000 | gamma_off | lr : 0.19321635 
Step: 2 | Loss:  99.5997 | w0: 1.0000 | r0: 0.1263 | st0: 0.9096 | sd0: 0.9921 | gamma0: 0.000000 | gamma_off | lr : 0.19321635 
Step: 0 | Loss:   8.7316 | w0: 1.0000 | r0: 0.2074 | st0: 0.8467 | sd0: 0.9955 | gamma0: 0.000000 | gamma_off | lr : 0.19249329 
